airline_id,flight_number,departure_datetime,arrival_datetime,booking_status,cabin_class,fare,loyalty_points,flight_duration_hours,is_window_seat,is_aisle_seat,is_reward_program_member
17,1442,2023-06-26 11:57:42,2023-07-05 13:48:09,Pending,Business,555.84,0,7.43,True,True,False
3,3944,2023-08-05 22:27:36,2023-02-24 19:20:06,Confirmed,Economy,499.88,0,1.11,True,True,False
11,4936,2023-02-21 14:03:01,2023-04-29 22:35:08,Pending,First,393.88,0,5.68,False,False,False
19,1398,2023-11-28 07:17:46,2023-12-05 10:12:00,Pending,Business,822.8,0,4.28,False,False,True
11,3995,2023-08-01 17:14:16,2023-01-12 04:13:38,Confirmed,First,51.68,0,8.29,True,True,True
16,7329,2023-12-17 23:52:14,2023-05-08 14:34:32,Cancelled,Economy,539.74,0,10.52,True,False,False
3,3216,2023-10-10 09:15:17,2023-06-20 10:58:46,Pending,Business,405.04,4757,11.02,False,True,False
6,2707,2023-06-08 12:24:15,2023-10-20 13:02:54,Pending,Business,196.39,0,3.64,True,True,False
14,6766,2023-07-05 21:56:54,2023-10-13 04:52:59,Pending,Business,726.21,4586,5.84,True,True,True
18,6677,2023-10-01 21:11:42,2023-04-28 06:40:44,Cancelled,Economy,304.76,650,10.68,True,False,True
17,3568,2023-05-03 10:24:54,2023-03-31 18:55:24,Pending,First,446.81,4560,6.18,True,True,False
4,8638,2023-09-29 05:21:05,2023-08-13 20:09:16,Confirmed,Business,325.33,0,2.56,True,False,False
15,1160,2023-05-07 09:43:24,2023-10-27 22:36:29,Pending,Business,629.09,492,6.25,True,True,True
11,9067,2023-07-23 04:14:51,2023-06-26 15:06:22,Confirmed,Business,60.31,0,7.73,False,True,False
3,4904,2023-04-27 09:38:15,2023-05-22 00:22:54,Cancelled,First,672.92,0,10.35,False,False,True
3,4573,2023-12-14 01:53:47,2023-06-08 00:02:09,Pending,Economy,442.49,0,3.38,False,True,True
16,2825,2023-08-03 22:37:30,2023-11-01 02:31:33,Cancelled,Business,728.53,0,11.51,False,True,False
5,6582,2023-09-22 00:23:33,2023-08-10 22:17:44,Cancelled,Economy,846.96,0,9.56,True,True,False
10,2176,2023-10-07 21:46:59,2023-10-17 16:27:58,Cancelled,Business,538.53,0,3.97,False,False,True
19,5918,2023-05-04 09:15:06,2023-07-21 08:46:11,Confirmed,Business,875.75,0,11.75,True,False,True
4,5880,2023-04-22 23:54:20,2023-06-30 14:13:03,Pending,First,176.63,0,11.36,False,True,False
19,4220,2023-12-30 21:26:46,2023-07-31 22:48:25,Confirmed,First,82.78,0,9.16,False,True,False
11,8820,2023-09-01 20:30:39,2023-11-12 03:52:33,Pending,First,891.18,0,7.14,True,True,True
2,1130,2023-01-30 20:39:03,2023-12-22 23:57:54,Pending,Economy,161.93,0,11.13,True,True,False
10,7659,2023-11-27 07:22:56,2023-06-29 07:42:46,Pending,Business,222.0,0,5.87,False,True,True
11,4562,2023-03-24 16:36:09,2023-11-18 06:24:51,Cancelled,First,165.18,0,5.68,False,True,False
16,2499,2023-11-23 10:31:24,2023-11-05 13:40:06,Pending,Business,212.79,4264,5.15,True,True,False
19,8430,2023-09-20 23:51:40,2023-03-03 05:05:56,Confirmed,First,904.14,705,10.07,False,False,False
11,8705,2023-06-10 19:45:07,2023-07-09 12:38:53,Confirmed,Business,855.53,0,2.71,False,True,False
14,8626,2023-08-27 03:00:35,2023-12-03 13:40:23,Pending,Business,302.24,0,1.74,False,False,False
2,7679,2023-08-01 23:42:33,2023-05-05 05:53:24,Pending,Economy,719.4,0,4.38,True,True,True
5,3788,2023-08-25 18:34:39,2023-08-17 01:21:42,Confirmed,Business,798.93,2145,11.38,False,False,True
5,5876,2023-03-01 02:34:00,2023-12-12 09:53:46,Cancelled,Business,197.14,0,6.04,False,True,True
19,4708,2023-04-13 12:58:36,2023-02-15 04:22:13,Confirmed,Business,266.76,0,4.38,True,False,False
12,2769,2023-10-11 06:42:29,2023-07-31 05:07:24,Cancelled,First,503.92,0,1.59,False,False,True
18,7731,2023-06-30 02:13:07,2023-06-01 19:37:11,Confirmed,Business,654.79,0,8.3,False,False,True
4,4044,2023-11-25 16:39:11,2023-08-29 01:52:40,Pending,Economy,449.75,0,6.87,True,False,True
17,1375,2023-01-13 16:43:40,2023-06-05 21:04:47,Pending,Economy,793.62,0,9.71,False,False,False
10,7347,2023-07-16 08:32:16,2023-05-30 02:57:58,Pending,First,990.79,0,5.47,True,False,True
6,4036,2023-06-15 14:37:27,2023-04-23 05:31:11,Cancelled,Business,871.56,0,9.17,True,True,True
14,9852,2023-12-22 23:48:26,2023-03-15 21:54:21,Cancelled,Economy,858.99,0,2.99,False,False,False
11,7218,2023-04-22 11:51:52,2023-04-22 05:44:32,Pending,First,241.51,0,8.79,True,False,True
11,1740,2023-05-02 00:03:16,2023-12-25 12:07:54,Cancelled,First,909.23,0,3.81,True,False,True
18,9495,2023-01-03 10:45:40,2023-08-06 13:28:55,Pending,Economy,991.42,1498,9.98,False,False,True
18,2085,2023-07-30 15:30:33,2023-11-20 20:41:22,Cancelled,Economy,587.51,0,8.01,True,True,False
11,2210,2023-05-31 16:46:07,2023-05-09 00:31:44,Confirmed,First,772.1,0,5.94,False,False,True
12,9420,2023-04-30 12:36:07,2023-10-29 18:31:49,Cancelled,First,619.33,0,2.42,False,False,False
5,4119,2023-06-02 08:58:15,2023-09-06 17:39:25,Confirmed,Economy,992.43,0,3.69,True,False,False
9,1267,2023-12-05 00:54:44,2023-07-31 01:36:44,Cancelled,First,624.43,0,2.79,False,True,True
9,3774,2023-04-25 06:02:23,2023-04-08 03:33:27,Cancelled,First,500.36,0,5.14,False,True,True
10,5349,2023-03-01 10:36:51,2023-01-30 02:26:34,Cancelled,Economy,198.06,0,3.54,True,False,True
19,5965,2023-04-15 22:27:49,2023-11-09 12:42:42,Cancelled,Economy,851.77,0,5.37,False,False,True
1,9125,2023-07-14 01:59:21,2023-08-26 07:56:47,Cancelled,Economy,242.38,0,11.36,False,False,False
7,4459,2023-10-22 15:57:40,2023-05-06 04:41:04,Cancelled,First,694.01,0,1.56,False,False,True
4,1989,2023-06-10 05:17:59,2023-10-22 18:06:38,Pending,Business,282.65,464,2.43,False,False,False
1,1937,2023-06-17 05:14:48,2023-08-28 06:39:16,Pending,First,713.53,300,6.7,False,True,False
15,7654,2023-11-22 01:06:52,2023-10-14 07:44:58,Pending,First,93.78,3432,9.15,False,True,True
8,7989,2023-11-16 14:15:44,2023-10-03 11:49:59,Pending,Economy,216.49,0,4.16,True,False,False
12,9631,2023-11-16 02:51:20,2023-10-31 17:33:28,Pending,First,733.53,0,9.78,False,False,False
18,8342,2023-05-02 10:30:36,2023-03-29 13:42:04,Confirmed,Economy,611.36,0,3.43,True,True,False
15,7023,2023-12-17 09:59:36,2023-05-30 23:13:47,Pending,Business,578.26,1468,11.23,True,False,True
17,3358,2023-05-23 09:47:49,2023-10-17 00:49:44,Cancelled,Economy,139.04,4561,7.09,True,False,True
14,4345,2023-12-07 22:51:06,2023-04-01 12:23:59,Confirmed,Economy,868.59,3509,3.62,True,False,True
14,7360,2023-01-16 01:33:29,2023-05-21 08:26:27,Confirmed,Economy,652.71,318,7.02,True,False,False
18,5816,2023-04-21 11:20:04,2023-03-25 08:03:35,Pending,Economy,598.99,0,11.24,True,False,False
18,4743,2023-03-28 07:08:22,2023-10-21 08:23:38,Confirmed,Economy,962.28,1772,10.2,True,True,True
16,8159,2023-02-07 06:47:06,2023-04-10 08:40:04,Confirmed,Business,573.73,863,6.9,True,True,False
1,1518,2023-05-02 16:36:39,2023-09-17 18:20:34,Pending,First,817.16,0,2.82,False,False,True
11,1268,2023-05-26 16:11:52,2023-10-29 15:10:12,Pending,First,253.96,0,11.37,False,False,False
15,6444,2023-03-03 17:20:56,2023-07-31 00:23:45,Pending,Economy,363.03,0,10.64,False,True,True
12,6475,2023-03-17 15:12:41,2023-03-01 16:51:22,Pending,Economy,677.29,0,1.14,False,True,False
8,5185,2023-02-04 20:56:42,2023-09-20 23:49:46,Confirmed,First,648.48,0,1.8,False,True,False
6,6161,2023-04-20 12:16:34,2023-12-14 13:18:34,Pending,Business,132.08,4459,6.14,True,True,False
3,4865,2023-12-13 11:29:32,2023-10-31 03:45:41,Cancelled,Economy,101.79,0,7.26,False,True,True
13,9011,2023-04-03 21:09:27,2023-01-20 11:28:00,Confirmed,Economy,252.91,0,7.17,True,True,False
13,3335,2023-11-27 22:37:04,2023-04-11 11:38:29,Cancelled,Business,557.16,0,7.77,True,True,True
2,4674,2023-05-21 22:18:46,2023-09-13 20:39:56,Confirmed,Economy,784.55,1656,8.53,False,True,False
5,5576,2023-04-05 09:25:31,2023-02-06 08:17:24,Cancelled,First,419.46,2549,11.31,False,True,False
17,1500,2023-09-06 07:36:15,2023-02-05 20:39:56,Confirmed,Economy,289.21,0,5.38,False,False,False
6,9083,2023-09-10 08:26:54,2023-07-30 18:44:24,Confirmed,Economy,611.47,0,1.32,False,False,False
2,9294,2023-04-26 00:44:36,2023-04-20 05:29:32,Cancelled,Economy,143.97,0,7.22,False,True,True
4,6543,2023-12-22 00:07:56,2023-12-30 16:22:21,Pending,Business,213.01,0,7.28,True,False,False
11,3746,2023-12-23 04:51:56,2023-06-04 20:19:18,Pending,First,480.19,0,3.56,False,False,False
8,4276,2023-03-21 18:06:41,2023-07-29 00:46:29,Cancelled,Business,968.35,0,6.73,True,False,False
12,4085,2023-12-14 02:07:45,2023-05-28 05:32:10,Confirmed,Economy,360.06,0,10.86,True,True,False
8,6735,2023-08-07 04:29:11,2023-01-11 18:50:35,Confirmed,Business,858.51,4560,7.91,True,True,False
11,8796,2023-08-24 10:25:40,2023-05-30 13:24:06,Cancelled,First,977.64,4381,9.11,True,True,False
8,7613,2023-01-07 18:15:41,2023-06-17 18:01:13,Pending,Economy,831.38,0,8.21,True,True,False
8,2327,2023-02-11 07:04:27,2023-01-14 01:48:15,Cancelled,Business,469.77,0,4.62,False,False,False
17,8772,2023-12-22 09:08:26,2023-11-02 08:34:12,Confirmed,First,820.61,0,2.97,False,False,True
16,4746,2023-09-22 14:44:50,2023-03-31 08:05:52,Pending,Economy,92.59,1352,5.23,True,True,True
14,6684,2023-03-25 00:18:24,2023-05-20 18:00:24,Pending,Economy,870.93,0,8.58,True,True,False
11,3562,2023-04-19 10:21:46,2023-05-06 12:07:32,Pending,Economy,515.07,0,5.72,False,True,True
7,5163,2023-10-09 09:43:18,2023-03-16 05:26:43,Confirmed,Business,477.71,0,6.01,False,True,True
16,4317,2023-03-04 10:02:02,2023-05-26 22:53:24,Confirmed,Economy,746.02,4537,8.93,True,False,False
13,3436,2023-05-17 23:36:11,2023-09-03 09:05:20,Cancelled,Business,934.57,0,8.17,False,True,False
15,6769,2023-05-22 03:23:46,2023-01-28 08:48:49,Cancelled,Economy,291.67,0,10.23,False,False,False
16,9499,2023-11-05 08:48:54,2023-03-19 14:58:11,Cancelled,Economy,452.44,0,10.08,False,True,False
9,6918,2023-03-24 11:59:55,2023-08-01 12:25:27,Confirmed,First,668.17,0,2.68,True,True,False
3,2089,2023-08-17 06:32:33,2023-06-10 05:02:12,Cancelled,First,626.14,0,5.85,False,True,True
19,5555,2023-09-09 13:12:35,2023-12-13 00:16:54,Cancelled,First,273.05,771,4.33,False,True,False
5,3394,2023-03-31 05:50:09,2023-03-21 06:22:25,Pending,First,67.0,0,11.69,True,True,True
10,7468,2023-12-18 12:56:51,2023-10-18 01:00:23,Pending,Business,204.85,3973,5.25,True,True,True
17,5004,2023-05-27 04:53:40,2023-11-21 23:01:24,Cancelled,First,87.65,0,7.37,False,True,True
15,1666,2023-07-08 11:45:02,2023-01-20 11:32:19,Pending,First,107.42,0,6.99,True,False,False
8,6718,2023-12-15 18:02:53,2023-09-20 00:21:12,Pending,First,283.43,0,8.86,False,False,True
15,6152,2023-08-14 17:45:43,2023-07-03 13:52:21,Pending,First,737.72,0,2.61,False,False,True
14,3234,2023-08-24 06:06:57,2023-06-22 19:31:10,Pending,First,293.94,0,11.56,False,False,True
7,7335,2023-10-11 22:59:37,2023-05-08 13:13:49,Confirmed,First,263.9,421,1.85,False,False,True
12,2236,2023-03-09 21:53:22,2023-08-22 15:31:15,Pending,Economy,654.85,0,8.06,False,False,True
17,2623,2023-06-26 05:59:05,2023-12-12 11:09:59,Confirmed,Economy,585.04,0,11.95,True,False,True
17,2374,2023-02-10 11:08:11,2023-04-21 05:56:15,Confirmed,First,532.87,0,11.41,False,False,True
10,8275,2023-04-24 10:36:12,2023-10-28 14:18:42,Confirmed,Economy,663.65,0,3.67,False,False,True
19,7359,2023-10-30 02:36:52,2023-03-06 09:34:37,Pending,Business,389.19,3571,5.79,False,False,False
14,1176,2023-10-28 06:28:43,2023-12-18 17:59:56,Cancelled,Economy,64.11,0,6.63,False,True,False
11,7704,2023-10-26 22:01:31,2023-09-14 03:02:49,Confirmed,Economy,458.52,0,3.13,False,False,True
2,3928,2023-11-09 15:48:56,2023-07-27 05:06:57,Pending,Business,398.45,0,9.53,True,False,True
18,9817,2023-10-05 07:36:15,2023-09-08 02:52:38,Cancelled,Business,783.26,1369,6.55,False,False,False
7,8617,2023-11-11 23:48:41,2023-03-04 18:13:49,Cancelled,Economy,135.78,3731,4.07,False,True,True
12,8614,2023-07-18 07:27:54,2023-10-04 02:50:51,Confirmed,Economy,792.06,1021,11.08,False,False,False
2,4715,2023-05-07 14:45:24,2023-03-16 21:49:02,Confirmed,Business,725.45,1121,3.44,False,False,False
18,5274,2023-11-17 06:02:54,2023-09-12 14:47:15,Pending,Economy,367.48,0,3.66,False,False,True
6,9586,2023-01-04 16:55:09,2023-06-20 12:55:21,Cancelled,First,646.11,0,11.35,True,True,True
10,5971,2023-05-11 04:52:47,2023-02-12 02:29:21,Confirmed,Business,550.3,0,4.08,False,False,True
15,9389,2023-04-10 20:33:55,2023-03-08 12:18:08,Pending,First,252.2,0,9.44,True,False,False
5,1968,2023-10-02 16:14:17,2023-07-27 05:34:38,Confirmed,First,908.8,0,5.69,False,True,True
3,4155,2023-06-15 22:18:12,2023-06-04 19:08:38,Confirmed,Economy,230.23,0,8.79,False,True,False
5,5764,2023-12-02 17:55:26,2023-12-03 10:39:42,Confirmed,First,181.15,0,12.0,True,False,True
8,3504,2023-11-17 14:28:56,2023-01-27 00:33:31,Confirmed,Business,439.38,3990,9.22,True,False,False
8,8643,2023-06-22 03:12:03,2023-03-12 11:45:43,Pending,Business,755.85,0,6.4,True,False,False
8,7006,2023-04-21 04:58:28,2023-08-01 10:20:18,Pending,Business,260.3,0,8.5,True,True,False
12,8962,2023-03-08 20:06:12,2023-10-19 23:24:17,Cancelled,Economy,873.33,0,6.29,True,True,False
8,8943,2023-02-21 06:46:59,2023-12-17 10:51:43,Confirmed,Business,598.81,0,9.55,True,False,False
11,2269,2023-04-26 02:28:35,2023-06-08 10:24:03,Pending,Economy,230.63,0,1.41,False,False,True
14,2364,2023-09-29 20:46:18,2023-04-28 00:07:45,Cancelled,Economy,565.59,2314,5.44,False,True,False
8,7716,2023-01-31 01:15:00,2023-11-17 22:26:19,Pending,Economy,270.96,0,2.02,False,False,False
10,1923,2023-01-27 14:52:43,2023-05-25 20:42:25,Cancelled,Economy,242.2,0,4.2,False,True,True
7,1470,2023-08-27 18:17:57,2023-05-22 04:05:40,Confirmed,Economy,195.72,2408,10.29,True,False,True
17,7597,2023-02-03 11:10:55,2023-02-13 13:20:09,Pending,Business,608.93,0,2.48,True,False,False
4,3954,2023-10-27 18:49:42,2023-08-07 02:43:32,Pending,Business,59.45,0,6.01,False,False,True
13,2148,2023-09-01 21:50:38,2023-04-28 21:57:59,Confirmed,First,955.28,4277,12.0,False,False,False
4,4086,2023-03-21 18:38:45,2023-09-28 19:39:04,Cancelled,First,75.53,337,9.92,True,False,True
5,1629,2023-09-02 00:21:36,2023-03-08 22:21:37,Pending,First,933.68,0,5.86,False,False,False
4,8407,2023-11-16 20:47:58,2023-06-09 16:18:24,Confirmed,Business,365.29,0,4.12,True,False,True
18,1774,2023-09-02 06:48:17,2023-04-16 07:14:58,Confirmed,Business,591.54,0,7.44,False,True,False
6,9551,2023-01-30 07:17:26,2023-08-08 13:20:13,Confirmed,First,525.17,0,9.69,False,True,False
2,9709,2023-07-09 02:12:13,2023-11-11 10:52:20,Confirmed,First,342.32,0,6.12,False,True,False
11,2343,2023-08-06 02:28:34,2023-12-10 17:21:43,Pending,First,346.23,0,4.03,True,True,True
14,8398,2023-04-05 05:54:35,2023-07-24 01:56:33,Pending,Economy,178.22,4745,9.36,False,True,False
5,8197,2023-05-18 16:10:49,2023-06-16 17:08:45,Pending,First,370.38,0,10.32,False,True,False
6,6016,2023-05-17 15:26:18,2023-11-09 15:46:16,Confirmed,Economy,652.24,0,3.72,False,False,True
10,8797,2023-05-11 06:09:16,2023-01-15 10:18:53,Confirmed,Economy,612.25,0,3.54,False,False,True
8,3899,2023-12-22 15:18:25,2023-02-10 09:01:33,Confirmed,Economy,861.82,0,4.76,True,True,True
14,1934,2023-08-07 09:43:49,2023-03-19 21:12:19,Pending,Business,262.54,0,1.76,False,False,False
3,2986,2023-01-27 10:31:22,2023-12-22 05:28:13,Pending,Business,203.5,0,11.49,True,True,True
12,5996,2023-03-03 16:31:15,2023-05-13 21:52:16,Pending,Economy,814.23,0,9.33,True,True,False
16,7542,2023-06-18 15:33:15,2023-11-11 10:28:13,Confirmed,First,816.58,0,1.68,False,True,True
17,6465,2023-07-21 07:57:50,2023-09-28 01:29:05,Pending,Economy,742.1,2571,11.44,True,True,False
1,7311,2023-07-27 15:41:30,2023-05-14 23:57:33,Cancelled,First,183.21,0,6.44,False,True,False
10,9568,2023-06-02 16:56:36,2023-02-16 03:54:34,Pending,Business,903.45,1289,3.99,True,True,True
10,2505,2023-07-16 16:26:38,2023-01-20 12:18:29,Pending,First,428.45,1161,11.21,False,True,True
2,6363,2023-10-22 20:21:25,2023-09-26 19:51:16,Pending,Business,388.51,0,10.37,True,False,False
9,2010,2023-01-30 23:14:42,2023-10-29 23:41:19,Confirmed,First,189.92,0,4.77,True,False,True
13,4477,2023-05-23 08:48:00,2023-10-14 16:22:35,Pending,Economy,219.91,0,8.94,True,False,False
16,8741,2023-01-02 10:45:54,2023-11-19 20:51:02,Confirmed,First,142.36,0,3.57,True,True,True
18,4857,2023-12-22 05:29:38,2023-05-16 12:19:27,Pending,First,557.48,0,11.71,False,False,False
19,4839,2023-02-25 12:40:21,2023-08-26 20:52:15,Cancelled,Business,409.86,0,2.85,False,True,False
12,5268,2023-11-18 06:58:43,2023-07-10 19:08:05,Pending,First,193.6,0,4.36,False,True,False
8,3553,2023-07-05 05:40:22,2023-12-23 18:27:49,Pending,First,694.1,558,10.39,True,False,True
17,5389,2023-07-29 10:01:00,2023-07-31 04:29:37,Cancelled,First,359.89,0,10.87,False,False,True
15,1551,2023-06-20 16:03:22,2023-05-27 22:25:42,Confirmed,First,692.06,0,8.89,False,True,True
10,6566,2023-07-03 04:29:05,2023-09-29 10:36:49,Cancelled,First,809.77,0,2.01,False,False,False
15,6758,2023-10-20 19:28:43,2023-08-06 14:03:24,Cancelled,Business,645.88,3828,5.93,True,True,True
15,4051,2023-03-14 14:24:03,2023-04-14 09:10:14,Cancelled,First,58.99,0,4.8,True,True,False
7,6322,2023-01-14 19:47:35,2023-02-18 18:16:39,Confirmed,Business,319.32,0,4.38,False,False,True
13,3555,2023-10-08 05:20:10,2023-08-13 08:44:27,Confirmed,First,74.29,0,4.0,False,False,True
17,2089,2023-09-01 10:57:09,2023-12-13 19:38:40,Cancelled,Business,389.4,0,8.02,False,True,False
9,1458,2023-08-01 20:52:09,2023-04-23 16:33:44,Cancelled,Business,847.48,0,2.44,True,True,True
8,5721,2023-04-11 03:02:10,2023-12-27 18:06:31,Confirmed,Economy,818.68,0,9.63,False,False,True
18,7304,2023-10-07 04:51:05,2023-01-27 18:54:32,Confirmed,First,204.4,0,4.45,True,False,False
13,2920,2023-03-20 12:42:35,2023-07-12 12:22:28,Cancelled,First,692.07,0,4.98,True,False,True
16,8694,2023-01-07 21:50:09,2023-09-21 10:21:32,Confirmed,Economy,883.53,3061,10.1,False,False,True
9,6668,2023-01-22 04:08:46,2023-12-09 21:26:59,Confirmed,First,871.19,0,6.06,True,True,False
12,7298,2023-04-15 14:44:18,2023-11-10 06:07:12,Pending,Economy,813.8,0,7.3,True,True,False
12,7629,2023-08-13 13:37:20,2023-07-03 01:43:04,Pending,First,279.64,2057,6.52,True,True,False
6,6146,2023-06-11 13:08:48,2023-02-03 07:15:41,Confirmed,Economy,975.84,0,5.61,False,True,True
19,2003,2023-04-07 14:05:21,2023-07-12 07:13:55,Cancelled,Economy,732.78,0,8.17,False,False,False
7,4083,2023-02-04 09:08:45,2023-08-07 12:06:38,Confirmed,Economy,710.36,0,1.67,False,True,True
3,3589,2023-12-24 21:28:50,2023-07-09 02:08:19,Pending,Economy,922.95,0,9.28,False,False,False
16,5310,2023-08-18 22:47:24,2023-10-20 11:50:59,Pending,Economy,376.56,0,8.43,False,True,True
18,3241,2023-05-24 14:43:20,2023-07-08 10:44:15,Cancelled,Business,477.05,0,3.94,True,True,True
16,6766,2023-09-03 09:57:59,2023-01-14 14:50:41,Pending,Economy,463.76,1099,3.93,False,False,True
7,8711,2023-01-23 22:11:55,2023-01-04 17:35:55,Pending,First,160.51,0,3.6,False,True,False
4,5980,2023-07-22 14:57:34,2023-07-27 16:36:10,Confirmed,First,324.14,0,8.9,False,True,False
8,1938,2023-10-06 19:19:22,2023-04-19 23:26:36,Cancelled,First,718.63,0,7.36,True,False,True
13,5301,2023-10-02 08:07:54,2023-01-14 18:10:11,Cancelled,Business,87.32,0,7.08,False,True,False
13,4970,2023-09-29 21:53:50,2023-09-27 12:31:45,Cancelled,Business,489.1,0,11.03,False,True,True
17,4999,2023-08-05 01:15:04,2023-06-11 18:24:23,Confirmed,First,737.54,0,12.0,True,False,True
17,5650,2023-10-11 15:54:46,2023-02-17 12:58:23,Confirmed,First,748.9,0,7.37,False,True,True
5,7627,2023-11-24 18:32:20,2023-10-23 05:01:42,Pending,First,919.73,2662,8.1,True,False,True
6,4408,2023-08-19 12:25:19,2023-03-13 09:56:10,Cancelled,First,582.36,885,7.6,False,True,True
19,9962,2023-11-25 01:13:42,2023-09-03 03:04:09,Pending,Economy,247.02,876,2.13,True,False,True
13,1248,2023-07-03 04:08:51,2023-09-07 06:47:29,Cancelled,Economy,782.38,2012,5.72,False,False,False
14,9564,2023-03-12 16:30:44,2023-07-22 20:59:25,Cancelled,Economy,530.46,0,5.81,False,False,False
4,6950,2023-09-25 06:32:11,2023-05-04 20:52:17,Cancelled,Business,823.38,3623,1.67,False,True,True
7,3926,2023-09-07 16:09:20,2023-12-21 12:08:17,Confirmed,Business,259.56,1941,9.75,False,True,False
8,8975,2023-11-27 16:07:06,2023-09-05 19:46:08,Pending,Economy,56.83,0,2.53,False,False,True
13,4857,2023-07-12 21:15:15,2023-08-25 18:50:52,Pending,Business,316.67,612,7.58,True,True,False
6,5930,2023-12-16 12:58:58,2023-04-13 01:09:25,Pending,Business,223.78,0,2.55,False,False,True
6,8014,2023-01-02 03:15:13,2023-03-28 19:29:25,Pending,Economy,731.54,3389,6.93,True,True,False
3,9893,2023-02-23 17:47:13,2023-07-12 19:54:56,Confirmed,Economy,526.84,0,1.28,True,False,False
3,7966,2023-08-28 10:59:03,2023-12-11 13:04:48,Confirmed,Economy,405.13,1946,7.48,False,True,False
